block_type	mask_name	warm_first	cycle_index	onset_latency_s	mean_ramp_rate	std_ramp_rate	mean_warming_rate	mean_cooling_rate	warming_cooling_diff	mean_temp_error	max_temp_error	n_ramp_flags	overheat_flagged	n_samples
NonTGI	P1	1	0	0.7001	2.4954	0.5135	2.4981	2.4927	0.0055	0.6650	1.3500	276	0	279
NonTGI	P1	1	1	nan	2.5466	0.7235	2.5767	2.5213	0.0554	0.6094	1.4000	278	0	279
NonTGI	P1	1	2	nan	2.5467	0.5997	2.5475	2.5430	0.0045	0.5516	1.3500	278	0	279
NonTGI	P1	1	3	nan	2.5466	0.5560	2.5475	2.5430	0.0044	0.5471	1.3500	278	0	279
NonTGI	P1	1	4	nan	2.4658	0.6216	2.4710	2.4572	0.0138	0.5917	1.6000	279	0	279
NonTGI	P1	1	5	nan	2.5070	0.6938	2.4892	2.5287	-0.0396	0.6512	1.4500	277	0	279
NonTGI	P1	1	6	nan	2.5251	0.5233	2.5365	2.5180	0.0185	0.5942	1.3500	278	0	279
NonTGI	P1	1	7	nan	2.5088	0.5081	2.4963	2.5181	-0.0217	0.5975	1.2500	279	0	279
NonTGI	P1	1	8	nan	2.5631	0.5629	2.5821	2.5487	0.0334	0.5947	1.3500	277	0	279
NonTGI	P1	1	9	nan	2.5466	0.5575	2.5474	2.5430	0.0044	0.5469	1.3500	278	0	279
NonTGI	P1	1	10	nan	2.5466	0.5596	2.5474	2.5430	0.0045	0.5464	1.3500	278	0	279
NonTGI	P1	1	11	nan	2.5466	0.5579	2.5474	2.5430	0.0045	0.5468	1.3500	278	0	279
NonTGI	P1	0	0	nan	2.5361	0.5980	2.5466	2.5254	0.0212	0.5510	1.3500	277	0	279
NonTGI	P1	0	1	nan	2.5089	0.5648	2.4841	2.5380	-0.0539	0.6736	1.5000	279	0	279
NonTGI	P1	0	2	nan	2.5430	0.5586	2.5467	2.5435	0.0033	0.5471	1.3500	278	0	279
NonTGI	P1	0	3	nan	2.5429	0.5514	2.5466	2.5434	0.0032	0.5472	1.3500	278	0	279
NonTGI	P1	0	4	nan	2.5429	0.5531	2.5467	2.5434	0.0033	0.5473	1.3500	278	0	279
NonTGI	P1	0	5	nan	2.5430	0.5523	2.5466	2.5435	0.0031	0.5462	1.3500	278	0	279
NonTGI	P1	0	6	nan	2.5430	0.5586	2.5467	2.5435	0.0033	0.5460	1.3500	278	0	279
NonTGI	P1	0	7	nan	2.5429	0.5603	2.5466	2.5435	0.0031	0.5459	1.3500	278	0	279
NonTGI	P1	0	8	nan	2.5430	0.5567	2.5466	2.5435	0.0031	0.5467	1.3500	278	0	279
NonTGI	P1	0	9	nan	2.5431	0.5597	2.5468	2.5436	0.0032	0.5467	1.3500	278	0	279
NonTGI	P1	0	10	nan	2.5429	0.5567	2.5466	2.5434	0.0032	0.5469	1.3500	278	0	279
NonTGI	P1	0	11	nan	2.5430	0.5564	2.5466	2.5436	0.0030	0.5467	1.3500	278	0	279
